"Emissions","type","year"
0.00142461446375818,"ON-ROAD",2005
2.03,"ON-ROAD",2005
0.76,"ON-ROAD",2005
2.03,"ON-ROAD",2005
0.26,"ON-ROAD",2005
0.1,"ON-ROAD",2005
0.26,"ON-ROAD",2005
2.44,"ON-ROAD",2005
0.91,"ON-ROAD",2005
2.69,"ON-ROAD",2005
1.53,"ON-ROAD",2005
0.57,"ON-ROAD",2005
1.69,"ON-ROAD",2005
0.48,"ON-ROAD",2005
0.18,"ON-ROAD",2005
0.52,"ON-ROAD",2005
0.55,"ON-ROAD",2005
0.2,"ON-ROAD",2005
0.6,"ON-ROAD",2005
0.000695804468705305,"ON-ROAD",2005
0.00026094571694557,"ON-ROAD",2005
0.000769752296037022,"ON-ROAD",2005
0.000695216753229017,"ON-ROAD",2005
0.000260725311818532,"ON-ROAD",2005
0.000788650861068143,"ON-ROAD",2005
0.000476014865853344,"ON-ROAD",2005
0.000178518600478126,"ON-ROAD",2005
0.00053998917428542,"ON-ROAD",2005
0.7,"ON-ROAD",2005
0.26,"ON-ROAD",2005
0.77,"ON-ROAD",2005
0.09,"ON-ROAD",2005
0.03,"ON-ROAD",2005
0.1,"ON-ROAD",2005
0.84,"ON-ROAD",2005
0.31,"ON-ROAD",2005
1,"ON-ROAD",2005
0.52,"ON-ROAD",2005
0.19,"ON-ROAD",2005
0.63,"ON-ROAD",2005
0.16,"ON-ROAD",2005
0.06,"ON-ROAD",2005
0.19,"ON-ROAD",2005
0.19,"ON-ROAD",2005
0.07,"ON-ROAD",2005
0.22,"ON-ROAD",2005
0.000138687534672497,"ON-ROAD",2005
5.54221260244937e-05,"ON-ROAD",2005
0.0014244634658098,"ON-ROAD",2005
0.000137512267428972,"ON-ROAD",2005
5.49814535588647e-05,"ON-ROAD",2005
0.00141230358713073,"ON-ROAD",2005
3.58464301370977e-05,"ON-ROAD",2005
1.37719073336482e-05,"ON-ROAD",2005
0.000369516790669866,"ON-ROAD",2005
0.24,"ON-ROAD",2005
0.09,"ON-ROAD",2005
2.53,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00805778550951,"ON-ROAD",2005
0.2,"ON-ROAD",2005
0.16,"ON-ROAD",2005
0.06,"ON-ROAD",2005
1.69,"ON-ROAD",2005
0.08,"ON-ROAD",2005
0.03,"ON-ROAD",2005
0.9,"ON-ROAD",2005
0.02,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.26,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00747090088971,"ON-ROAD",2005
0.19,"ON-ROAD",2005
2.35450873731223e-06,"ON-ROAD",2005
4.42101608655307e-07,"ON-ROAD",2005
6.38128403807042e-06,"ON-ROAD",2005
2.35450873731223e-06,"ON-ROAD",2005
4.42101608655307e-07,"ON-ROAD",2005
6.42555340846211e-06,"ON-ROAD",2005
2.35450873731223e-06,"ON-ROAD",2005
4.42101608655307e-07,"ON-ROAD",2005
6.42555340846211e-06,"ON-ROAD",2005
0.00419401615901,"ON-ROAD",2005
0.0007875382361817,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.000555081747734202,"ON-ROAD",2005
0.000104231384284501,"ON-ROAD",2005
0.00150443697930312,"ON-ROAD",2005
0.00503761035915,"ON-ROAD",2005
0.000946007334277945,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00316278118407352,"ON-ROAD",2005
0.000593935204960859,"ON-ROAD",2005
0.00874780263771,"ON-ROAD",2005
0.000990098269539868,"ON-ROAD",2005
0.000185929471626876,"ON-ROAD",2005
0.00273847096832468,"ON-ROAD",2005
0.00113608184619805,"ON-ROAD",2005
0.000213343566429101,"ON-ROAD",2005
0.00314341505873015,"ON-ROAD",2005
2.35111346000848e-05,"ON-ROAD",2005
8.82813287716985e-06,"ON-ROAD",2005
0.000656990574498179,"ON-ROAD",2005
2.35111346000848e-05,"ON-ROAD",2005
8.82813287716985e-06,"ON-ROAD",2005
0.000656990574498179,"ON-ROAD",2005
1.70455714396665e-05,"ON-ROAD",2005
6.40039593235983e-06,"ON-ROAD",2005
0.00047631814231862,"ON-ROAD",2005
0.02,"ON-ROAD",2005
0.00900554202738,"ON-ROAD",2005
0.67,"ON-ROAD",2005
0.00317280748276969,"ON-ROAD",2005
0.0011913517009816,"ON-ROAD",2005
0.08,"ON-ROAD",2005
0.02,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.8,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.0067883260758,"ON-ROAD",2005
0.5,"ON-ROAD",2005
0.00566433300089,"ON-ROAD",2005
0.00212689710315316,"ON-ROAD",2005
0.15,"ON-ROAD",2005
0.00649014900945,"ON-ROAD",2005
0.00243698224949183,"ON-ROAD",2005
0.18,"ON-ROAD",2005
4.93792708766692e-05,"ON-ROAD",2005
1.85037903293049e-05,"ON-ROAD",2005
0.000949667759414278,"ON-ROAD",2005
4.93792708766692e-05,"ON-ROAD",2005
1.85037903293049e-05,"ON-ROAD",2005
0.000949667759414278,"ON-ROAD",2005
1.82233388841267e-05,"ON-ROAD",2005
6.8301369537947e-06,"ON-ROAD",2005
0.00034810969009413,"ON-ROAD",2005
0.07,"ON-ROAD",2005
0.02,"ON-ROAD",2005
1.39,"ON-ROAD",2005
0.00646867690237,"ON-ROAD",2005
0.0024239868071163,"ON-ROAD",2005
0.12,"ON-ROAD",2005
0.05,"ON-ROAD",2005
0.02,"ON-ROAD",2005
1.03,"ON-ROAD",2005
0.02,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.57,"ON-ROAD",2005
0.00900993798643,"ON-ROAD",2005
0.0033764638355933,"ON-ROAD",2005
0.17,"ON-ROAD",2005
0.00737514940358,"ON-ROAD",2005
0.00276410560763905,"ON-ROAD",2005
0.14,"ON-ROAD",2005
1.05850325553545e-05,"ON-ROAD",2005
3.96703944716111e-06,"ON-ROAD",2005
0.00025116657889157,"ON-ROAD",2005
1.05850325553545e-05,"ON-ROAD",2005
3.96703944716111e-06,"ON-ROAD",2005
0.00025116657889157,"ON-ROAD",2005
2.35222947253531e-06,"ON-ROAD",2005
8.81564332644289e-07,"ON-ROAD",2005
5.5814796724006e-05,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00708625570222,"ON-ROAD",2005
0.44,"ON-ROAD",2005
0.00155364473903317,"ON-ROAD",2005
0.000582274966291134,"ON-ROAD",2005
0.03,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00470428130792,"ON-ROAD",2005
0.29,"ON-ROAD",2005
0.0067144090404,"ON-ROAD",2005
0.00251644349191336,"ON-ROAD",2005
0.15,"ON-ROAD",2005
0.00200350237719248,"ON-ROAD",2005
0.00075087779623571,"ON-ROAD",2005
0.04,"ON-ROAD",2005
0.00140074624505359,"ON-ROAD",2005
0.000524975293956215,"ON-ROAD",2005
0.03,"ON-ROAD",2005
3.9986762203624e-05,"ON-ROAD",2005
2.24792644303306e-05,"ON-ROAD",2005
0.000832106925372485,"ON-ROAD",2005
3.9986762203624e-05,"ON-ROAD",2005
2.24792644303306e-05,"ON-ROAD",2005
0.000832106925372485,"ON-ROAD",2005
1.23486007623795e-05,"ON-ROAD",2005
6.94171404802532e-06,"ON-ROAD",2005
0.000254593545832903,"ON-ROAD",2005
0.07,"ON-ROAD",2005
0.03,"ON-ROAD",2005
1.46,"ON-ROAD",2005
0.00575220820444,"ON-ROAD",2005
0.00323369656689463,"ON-ROAD",2005
0.12,"ON-ROAD",2005
0.04,"ON-ROAD",2005
0.02,"ON-ROAD",2005
0.97,"ON-ROAD",2005
0.02,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.51,"ON-ROAD",2005
0.0074181280784,"ON-ROAD",2005
0.00417019752606,"ON-ROAD",2005
0.15,"ON-ROAD",2005
0.00518592720393,"ON-ROAD",2005
0.00291533698327838,"ON-ROAD",2005
0.1,"ON-ROAD",2005
8.52531384225573e-05,"ON-ROAD",2005
4.79449595331954e-05,"ON-ROAD",2005
0.00352604480560058,"ON-ROAD",2005
8.40772358969826e-05,"ON-ROAD",2005
4.72836529752369e-05,"ON-ROAD",2005
0.00347673168247587,"ON-ROAD",2005
2.11662963920388e-05,"ON-ROAD",2005
1.19035794341469e-05,"ON-ROAD",2005
0.000874429708346709,"ON-ROAD",2005
0.13,"ON-ROAD",2005
0.07,"ON-ROAD",2005
5.69,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00636511004832,"ON-ROAD",2005
0.46,"ON-ROAD",2005
0.09,"ON-ROAD",2005
0.05,"ON-ROAD",2005
3.78,"ON-ROAD",2005
0.04,"ON-ROAD",2005
0.02,"ON-ROAD",2005
2.02,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00820719543687,"ON-ROAD",2005
0.6,"ON-ROAD",2005
0.01,"ON-ROAD",2005
0.00573852273948,"ON-ROAD",2005
0.42,"ON-ROAD",2005
0.000166375421940756,"ON-ROAD",2005
0.000280772173937292,"ON-ROAD",2005
0.00863275123839,"ON-ROAD",2005
0.000170490586242521,"ON-ROAD",2005
0.000287716722596086,"ON-ROAD",2005
0.00886091432493,"ON-ROAD",2005
4.76197951684282e-05,"ON-ROAD",2005
8.03622901912589e-05,"ON-ROAD",2005
0.00247353718441444,"ON-ROAD",2005
